Falla (%),Línea Principal,Relé Principal,TDS (Main),Pickup (Main),I_shc (Main),t_m (Main),Línea Backup,Relé Backup,TDS (Backup),Pickup (Backup),I_shc (Backup),t_b (Backup),Δt,MT,Estado
90,L7-8,R44,0.96844,0.36382,2.2,3.699706048617783,L8-9,R45,0.49812,0.66998,1.32,5.106986966060697,1.2072809174429142,0.0,Coordinado
10,L8-9,R8,0.57557,0.53966,2.4,2.659790759279958,L7-8,R7,0.75475,0.3506,1.56,3.4865965497775235,0.6268057904975655,0.0,Coordinado
10,L8-9,R8,0.57557,0.53966,2.4,2.659790759279958,L8-21,R70,0.47966,0.44643,0.84,5.278181934188323,2.418391174908365,0.0,Coordinado
90,L8-9,R45,0.49812,0.66998,2.05,3.083112609024256,L9-15,R71,0.75897,0.11379,0.31,5.248083729682704,1.9649711206584477,0.0,Coordinado
10,L9-10,R9,0.28223,1.0697,2.86,1.9891787423824594,L8-9,R8,0.57557,0.53966,1.4,4.186251484244382,1.9970727418619225,0.0,Coordinado
10,L9-10,R9,0.28223,1.0697,2.86,1.9891787423824594,L9-15,R71,0.75897,0.11379,0.28,5.847280043197377,3.6581013008149172,0.0,Coordinado
10,L9-15,R34,0.82292,0.40975,2.8,2.9401408387618755,L8-9,R8,0.57557,0.53966,1.31,4.502898860376608,1.3627580216147328,0.0,Coordinado
10,L9-15,R34,0.82292,0.40975,2.8,2.9401408387618755,L9-10,R46,0.57607,0.14592,0.39,4.061667021990073,0.9215261832281973,0.0,Coordinado
90,L9-15,R71,0.75897,0.11379,1.17,2.2270564992894983,L14-15,R14,0.39553,0.2373,0.67,2.6398813073221503,0.21282480803265197,0.0,Coordinado
90,L10-11,R47,0.39341,0.31793,1.22,2.0204144503073747,L11-12,R48,0.63005,0.18405,1.22,2.2879674467043003,0.06755299639692564,0.0,Descoordinado
10,L11-12,R11,0.46446,0.37954,1.58,2.247248382528663,L10-11,R10,0.59113,0.31028,1.58,2.501019800899857,0.05377141837119409,0.0,Descoordinado
90,L11-12,R48,0.63005,0.18405,1.4,2.1298302698753635,L12-13,R49,0.39746,0.17322,0.52,2.503258705939793,0.17342843606442954,0.0,Descoordinado
10,L14-15,R14,0.39553,0.2373,0.93,1.999521649369087,L13-14,R13,0.7114,0.11907,0.93,2.3732458554282028,0.1737242060591157,0.0,Descoordinado
90,L14-15,R51,0.36249,0.51046,1.62,2.1718813894908537,L15-16,R52,0.55725,0.11016,0.53,2.444259238996161,0.07237784950530707,0.0,Descoordinado
90,L16-17,R53,0.42292,0.20276,0.84,2.0533302842838856,L17-18,R54,0.13388,0.5567,0.84,2.268755128387931,0.015424844104045377,0.0,Descoordinado
10,L18-33,R36,0.57774,0.17337,0.84,2.5226650945087394,L17-18,R17,0.45818,0.26543,0.84,2.7520078058914423,0.02934271138270289,0.0,Descoordinado
90,L18-33,R73,0.46188,0.29472,1.13,2.3735328225755548,L32-33,R32,0.19706,0.66627,1.13,2.5973935581259537,0.02386073555039897,0.0,Descoordinado
10,L19-20,R19,0.51606,1.51026,6.6,2.4135040305464037,L2-19,R18,0.58768,1.46238,6.6,2.6888288193056376,0.07532478875923382,0.0,Descoordinado
90,L23-24,R60,0.33132,0.29557,0.93,2.0001734642237285,L24-25,R61,0.75119,0.105,0.93,2.358523184237274,0.15834972001354525,0.0,Descoordinado
10,L24-25,R24,0.2741,0.89762,2.36,1.965729881166761,L23-24,R23,0.42783,0.66896,2.36,2.3457052398435008,0.1799753586767398,0.0,Descoordinado
90,L24-25,R61,0.75119,0.105,1.29,2.044113781576886,L25-29,R74,0.85788,0.1114,1.29,2.3922547411186605,0.14814095954177436,0.0,Descoordinado
90,L25-29,R74,0.85788,0.1114,1.59,2.1994505293069446,L29-30,R66,0.62244,0.08403,0.46,2.5195850225586334,0.12013449325168873,0.0,Descoordinado
90,L27-28,R64,0.38434,0.41863,1.25,2.4326074757080707,L28-29,R65,0.6035,0.27304,1.25,2.734906100558735,0.10229862485066449,0.0,Descoordinado
10,L28-29,R28,0.74834,0.44843,1.55,4.17145528307804,L27-28,R27,0.56365,0.63939,1.55,4.416414258206674,0.04495897512863428,0.0,Descoordinado
90,L28-29,R65,0.6035,0.27304,1.76,2.2250480269527695,L29-30,R66,0.62244,0.08403,0.45,2.5531500439070447,0.1281020169542752,0.0,Descoordinado
90,L31-32,R68,0.22716,0.35325,0.7,2.3091971505805917,L32-33,R69,0.32157,0.30166,0.7,2.651637450528717,0.1424402999481253,0.0,Descoordinado
90,L32-33,R69,0.32157,0.30166,0.76,2.413648660597102,L18-33,R36,0.57774,0.17337,0.76,2.696212047426494,0.08256338682939174,0.0,Descoordinado
10,L5-6,R5,0.34237,1.10511,3.31,2.160791529467265,L4-5,R4,0.78945,0.39047,3.31,2.5306441574857974,0.16985262801853257,0.0,Descoordinado
90,L6-26,R62,0.39481,0.35134,0.72,3.8242514733517523,L26-27,R63,0.38588,0.37953,0.72,4.1915153558633245,0.16726388251157215,0.0,Descoordinado
90,L6-7,R43,0.41335,0.85508,1.73,4.077171953128185,L7-8,R44,0.96844,0.36382,1.73,4.280306618144008,0.0031346650158232126,0.0,Descoordinado
90,L8-9,R45,0.49812,0.66998,2.05,3.083112609024256,L9-10,R46,0.57607,0.14592,0.49,3.2887688159632202,0.005656206938964015,0.0,Descoordinado
90,L9-10,R46,0.57607,0.14592,1.07,1.9839241604569344,L10-11,R47,0.39341,0.31793,1.07,2.2417794155341464,0.05785525507721195,0.0,Descoordinado
90,L9-15,R71,0.75897,0.11379,1.17,2.2270564992894983,L15-16,R52,0.55725,0.11016,0.5,2.5399003725792104,0.11284387328971207,0.0,Descoordinado
